estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
383189,188797,194392,97.1,16748,18660,20885,25229,31603,51845,48836,42979,24643,23306,49226,22299,6930,40.5,68649,322719,314540,294293,92890,78455,314540,153661,160879,95.5,78455,36125,42330,85.3,383189,342291,40898,342291,313016,3699,3713,N,N,N,N,8865,472,2684,1341,633,1373,812,1550,1139,N,N,N,N,11859,40898,3400,8251,6588,0,383189,352208,9708,15478,18815,2340,30051,383189,37671,27716,1853,506,7596,345518,303268,3639,1854,8757,868,1353,25779,4806,310M600US21660,"Eugene-Springfield, OR Metro Area",2021,21660
136310,67427,68883,97.9,5798,6136,9430,10115,10775,17134,17662,16595,8173,7894,17605,6107,2886,39.9,25878,113209,110432,102272,31298,26598,110432,54402,56030,97.1,26598,12376,14222,87.0,136310,116113,20197,116113,95569,1620,7853,N,N,N,N,4685,0,490,755,402,281,0,2757,486,N,N,N,N,5900,20197,1785,3582,1815,0,136310,114981,4418,12343,7140,993,17978,136310,17613,10470,704,542,5897,118697,93453,1094,5732,4352,486,2000,11580,4062,310M600US21700,"Eureka-Arcata, CA Micro Area",2021,21700
313946,154388,159558,96.8,17406,20501,19491,21426,19164,38916,41026,36508,21021,21109,35888,15174,6316,39.7,70051,252378,243895,231002,70456,57378,243895,118207,125688,94.0,57378,25339,32039,79.1,313946,294864,19082,294864,267199,18895,1373,N,N,N,N,2994,207,1047,949,262,205,0,324,349,N,N,N,N,4054,19082,6297,4892,2179,183,313946,285705,27120,7275,5344,498,8685,313946,7935,N,N,N,N,306011,264935,18895,191,2994,349,2480,16167,1619,310M600US21780,"Evansville, IN-KY Metro Area",2021,21780
95593,52000,43593,119.3,6391,7390,4797,7443,8254,16758,12324,10694,4939,4603,8147,3016,837,32.0,22476,75513,73117,67294,14970,12000,73117,39954,33163,120.5,12000,5828,6172,94.4,95593,80926,14667,80926,66204,3913,5318,N,N,N,N,3101,81,694,1167,175,491,0,493,339,N,N,N,N,2051,14667,2049,5215,1066,79,95593,78860,6718,11553,6028,729,7162,95593,7990,2871,1634,288,3197,87603,64186,3594,5318,3101,339,378,10687,1537,310M600US21820,"Fairbanks, AK Metro Area",2021,21820
252136,126756,125380,101.1,16895,17277,15350,18570,24097,38699,35155,26794,12256,13873,20087,8895,4188,33.8,58539,199218,193597,179364,41295,33170,193597,97497,96100,101.5,33170,15308,17862,85.7,252136,238533,13603,238533,211704,13253,4104,0,1596,22,1070,6711,1539,530,428,31,118,1333,2732,0,N,N,N,N,2761,13603,2743,4142,1060,323,252136,224929,16514,8693,8038,N,7698,252136,9008,6131,223,108,2546,243128,209189,12708,3950,6544,0,1029,9708,2215,310M600US22020,"Fargo, ND-MN Metro Area",2021,22020
67262,34848,32414,107.5,3235,3465,5098,5449,6647,6961,9000,8030,4176,4291,6606,3164,1140,38.9,14397,54935,52865,48037,13377,10910,52865,27363,25502,107.3,10910,5100,5810,87.8,67262,62376,4886,62376,54126,4091,1003,N,N,N,N,1075,N,N,N,N,N,N,N,0,N,N,N,N,2081,4886,46,1274,192,0,67262,58967,4351,2423,1267,N,5330,67262,6048,4406,80,0,1562,61214,52919,4091,398,1075,0,7,2724,1066,310M600US22060,"Faribault-Northfield, MN Micro Area",2021,22060
67541,34653,32888,105.4,3442,4366,4126,4306,3031,8871,9606,8765,4705,4596,7060,3285,1382,41.0,14331,55002,53210,50723,14320,11727,53210,28365,24845,114.2,11727,5259,6468,81.3,67541,63784,3757,63784,61447,1616,11,N,N,N,N,456,N,N,N,N,N,N,N,0,N,N,N,N,254,3757,N,N,N,N,67541,65182,2086,1675,1359,N,996,67541,461,N,N,N,N,67080,61289,1616,11,456,0,127,3581,566,310M600US22100,"Farmington, MO Micro Area",2021,22100
120993,60039,60954,98.5,6899,8453,9665,8617,7988,16071,14489,14029,7551,7754,12301,4976,2200,36.9,30762,94363,90231,86020,24009,19477,90231,44585,45646,97.7,19477,8932,10545,84.7,120993,112367,8626,112367,45414,830,49219,N,N,N,N,565,N,N,N,N,N,N,N,48,N,N,N,N,16291,8626,139,1904,208,0,120993,53939,1128,51524,1052,N,22277,120993,26327,N,N,N,N,94666,42754,830,46978,565,48,205,3286,692,310M600US22140,"Farmington, NM Metro Area",2021,22140
524588,259450,265138,97.9,37064,35661,39913,36127,43628,84241,69291,56596,28527,26920,41872,17414,7334,33.0,133257,405557,391331,367594,81461,66620,391331,192402,198929,96.7,66620,29124,37496,77.7,524588,469644,54944,469644,249955,169685,9851,192,62,165,104,9305,882,1238,3105,359,1688,1162,871,2815,611,1257,121,826,28033,54944,10585,6910,5168,3522,524588,296829,190533,23303,16557,4316,53161,524588,69458,27032,24268,1660,16498,455130,234012,166952,6963,9082,2730,5915,29476,1594,310M600US22180,"Fayetteville, NC Metro Area",2021,22180
558507,279228,279279,100.0,35486,42457,36889,41567,42949,81401,78546,66790,31459,27644,44019,20956,8344,34.8,138351,436497,420156,393762,89515,73319,420156,208914,211242,98.9,73319,33089,40230,82.2,558507,415539,142968,415539,348920,13324,6608,1228,102,0,0,18075,8087,1602,1024,263,372,2637,4090,7795,N,N,N,N,20817,142968,4147,10556,5110,126,558507,489225,20764,20115,26562,10966,138510,558507,95842,64185,2847,1298,27512,462665,334981,13111,3512,17914,7795,1874,83478,60770,310M600US22220,"Fayetteville-Springdale-Rogers, AR Metro Area",2021,22220
74656,36959,37697,98.0,4335,4950,3921,4691,4636,10289,9137,8675,4853,5270,8487,3845,1567,39.9,16076,60226,58580,55958,17402,13899,58580,28809,29771,96.8,13899,6222,7677,81.0,74656,70989,3667,70989,65864,1335,0,N,N,N,N,1273,N,N,N,N,N,N,N,25,N,N,N,N,2492,3667,376,737,639,11,74656,69442,1806,832,1912,N,4312,74656,4637,N,N,N,N,70019,65151,1335,0,1204,25,87,2217,377,310M600US22300,"Findlay, OH Micro Area",2021,22300
145052,71084,73968,96.1,7015,8318,8650,17266,16409,19121,16593,14728,6576,10012,13698,5522,1144,33.0,29057,118934,115995,98752,24789,20364,115995,56763,59232,95.8,20364,9665,10699,90.3,145052,132107,12945,132107,78570,2009,37699,N,N,N,N,2717,N,N,N,N,N,N,N,288,N,N,N,N,10824,12945,462,3114,1266,59,145052,90955,3182,41501,4200,620,18552,145052,21666,N,N,N,N,123386,75205,2009,35731,2717,121,1381,6222,1433,310M600US22380,"Flagstaff, AZ Metro Area",2021,22380
404208,196043,208165,94.2,22610,23541,27958,25122,24030,52452,47172,50506,26696,30266,45269,20180,8406,40.3,90296,324886,313912,299919,92925,73855,313912,149727,164185,91.2,73855,32514,41341,78.6,404208,383661,20547,383661,294453,80041,1215,N,N,N,N,4277,1140,1051,491,140,614,425,416,0,N,N,N,N,3675,20547,7129,3245,1274,63,404208,314246,89213,5862,6192,N,10748,404208,15729,11254,220,2161,2094,388479,285574,79300,830,4277,0,1813,16685,3412,310M600US22420,"Flint, MI Metro Area",2021,22420
199259,92830,106429,87.2,11211,13520,12603,15055,10648,22999,25781,24037,12668,13272,23221,11228,3016,40.9,45936,159195,153323,144132,45298,37465,153323,70345,82978,84.8,37465,16014,21451,74.7,199259,194204,5055,194204,102843,85427,325,N,N,N,N,2332,N,N,N,N,N,N,N,39,N,N,N,N,3238,5055,695,897,577,231,199259,107114,86961,1645,2909,N,5792,199259,5679,3526,1138,167,848,193580,101606,85322,272,2332,0,753,3295,843,310M600US22500,"Florence, SC Metro Area",2021,22500
151517,72395,79122,91.5,8662,8558,8600,8072,11452,18177,16792,19281,10510,10507,17831,9894,3181,41.0,30902,123399,120615,114949,37600,30906,120615,57027,63588,89.7,30906,13212,17694,74.7,151517,143390,8127,143390,123637,15979,1443,N,N,N,N,381,N,N,N,N,N,N,N,59,N,N,N,N,1891,8127,1129,2581,1182,0,151517,131634,17242,4216,1727,N,5126,151517,4849,N,N,N,N,146668,123155,15960,1131,381,59,592,5390,435,310M600US22520,"Florence-Muscle Shoals, AL Metro Area",2021,22520
104362,50655,53707,94.3,4670,5726,7870,6440,6129,12388,13053,12879,7408,8104,11764,5884,2047,41.8,22141,85127,82221,77505,24956,19695,82221,40437,41784,96.8,19695,9075,10620,85.5,104362,99309,5053,99309,91035,2442,282,N,N,N,N,2015,N,N,N,N,N,N,N,0,N,N,N,N,3535,5053,589,729,234,0,104362,96088,3553,1288,2262,N,6746,104362,6250,N,N,N,N,98112,90124,2442,239,1858,0,1324,2125,476,310M600US22540,"Fond du Lac, WI Metro Area",2021,22540
362533,181136,181397,99.9,15995,17453,21466,26414,36613,52932,48632,39271,21943,20940,38478,15231,7165,36.4,67895,304449,294638,271581,73407,60874,294638,146600,148038,99.0,60874,28267,32607,86.7,362533,325318,37215,325318,300709,3113,2856,N,N,N,N,7385,2642,1301,795,330,1064,372,881,310,N,N,N,N,10945,37215,2428,4094,2996,0,362533,335956,9350,10827,11069,1035,35954,362533,45017,32106,969,379,11563,317516,289433,2411,805,7303,310,2820,14434,4578,310M600US22660,"Fort Collins, CO Metro Area",2021,22660
71813,35952,35861,100.3,6080,4690,4079,4148,4018,8448,7993,10175,4612,5052,7783,3498,1237,40.2,17547,55909,54266,52392,15900,12518,54266,26922,27344,98.5,12518,5831,6687,87.2,71813,67916,3897,67916,58855,1160,1822,N,N,N,N,71,N,N,N,N,N,N,N,10,N,N,N,N,5998,3897,N,N,N,N,71813,62588,1456,3923,N,N,7620,71813,11340,N,N,N,N,60473,56481,1160,227,71,10,58,2466,195,310M600US22840,"Fort Payne, AL Micro Area",2021,22840
247661,121963,125698,97.0,15556,15562,17593,14582,18436,29748,29466,29186,17671,17338,25140,12461,4922,38.7,58637,195664,189024,181575,52637,42523,189024,92274,96750,95.4,42523,18904,23619,80.0,247661,222762,24899,222762,180784,8554,10729,N,N,N,N,7951,N,N,N,N,N,N,N,0,N,N,N,N,14744,24899,3320,9595,1537,432,247661,204800,13501,22132,9959,N,23630,247661,28494,19936,306,272,7980,219167,175582,8554,10351,6880,0,0,17800,2432,310M600US22900,"Fort Smith, AR-OK Metro Area",2021,22900
423038,209105,213933,97.7,28916,29255,30736,28104,27492,58924,54254,49153,22814,28410,40514,18133,6333,36.4,107252,326681,315786,301188,82034,64980,315786,153632,162154,94.7,64980,29026,35954,80.7,423038,383700,39338,383700,310755,37889,1361,N,N,N,N,20577,2063,2516,1067,179,307,841,13604,129,N,N,N,N,12989,39338,8487,8825,1185,419,423038,349245,48248,11375,22230,284,32495,423038,32485,23292,2902,93,6198,390553,306307,37560,763,20512,129,2213,23069,4150,310M600US23060,"Fort Wayne, IN Metro Area",2021,23060
75717,36399,39318,92.6,4098,4021,4223,5675,3248,10690,8972,10033,6059,4636,8933,4152,977,41.0,15259,62394,60458,57530,16450,14062,60458,28974,31484,92.0,14062,6185,7877,78.5,75717,71328,4389,71328,64946,4629,28,N,N,N,N,1117,N,N,N,N,N,N,N,0,N,N,N,N,608,4389,N,N,N,N,75717,68528,7240,1625,1173,N,1859,75717,1992,N,N,N,N,73725,64805,4629,0,1117,0,0,3174,92,310M600US23180,"Frankfort, KY Micro Area",2021,23180
1013581,508152,505429,100.5,71998,79902,84738,77051,69163,152132,135434,110607,54788,50048,78046,36567,13107,33.1,285553,761696,728028,685183,157259,127720,728028,362505,365523,99.2,127720,57947,69773,83.1,1013581,725709,287872,725709,336394,43869,12992,265,0,355,0,110995,25808,7843,14494,2291,1258,4227,55074,1789,155,40,687,907,219670,287872,8540,9636,7413,830,1013581,613322,63993,32038,126609,4235,475321,1013581,554633,508279,5420,1333,39601,458948,266959,41518,3643,107250,1719,5957,31902,7637,310M600US23420,"Fresno, CA Metro Area",2021,23420
103162,49734,53428,93.1,6017,6458,6213,6740,5711,12190,12327,13480,7339,6961,12248,5213,2265,41.5,22306,83219,80856,76471,24601,19726,80856,38574,42282,91.2,19726,8658,11068,78.2,103162,97558,5604,97558,79421,14722,123,N,N,N,N,357,N,N,N,N,N,N,N,0,N,N,N,N,2935,5604,N,N,N,N,103162,84230,17746,1776,1015,N,4633,103162,4779,N,N,N,N,98383,78755,14722,123,357,0,0,4426,596,310M600US23460,"Gadsden, AL Metro Area",2021,23460
344881,167547,177334,94.5,17178,19567,16674,27505,43087,49543,38441,35757,17231,23260,34183,14255,8200,34.7,64089,287420,280792,253417,72900,56638,280792,134315,146477,91.7,56638,26017,30621,85.0,344881,311501,33380,311501,226531,59502,792,N,N,N,N,16982,5660,3675,3437,246,2052,508,1404,122,N,N,N,N,7572,33380,3616,2382,2653,278,344881,257384,65604,4864,21616,749,30811,344881,36662,6768,9598,3674,16622,308219,217039,59346,345,16853,122,2388,12126,1806,310M600US23540,"Gainesville, FL Metro Area",2021,23540
207369,102815,104554,98.3,12957,12474,16005,13777,14012,26038,25955,27398,15162,11594,19200,10852,1945,38.2,50486,162282,156883,149495,39254,31997,156883,77187,79696,96.9,31997,14650,17347,84.5,207369,163282,44087,163282,130606,13439,868,N,N,N,N,4058,921,0,1064,0,535,1378,160,49,N,N,N,N,14262,44087,2814,1345,1037,870,207369,172989,18516,3707,5381,346,51462,207369,61103,43546,3884,918,12755,146266,121522,13111,15,4013,0,648,6957,965,310M600US23580,"Gainesville, GA Metro Area",2021,23580
71780,35170,36610,96.1,5546,5118,5121,5769,4350,11784,8372,7791,4497,4456,5533,2683,760,33.4,19495,54936,52285,48813,11893,8976,52285,24958,27327,91.3,8976,3633,5343,68.0,71780,64645,7135,64645,5627,83,55221,N,N,N,N,712,N,N,N,N,N,N,N,114,N,N,N,N,2888,7135,0,543,233,528,71780,9946,1014,60267,945,N,8719,71780,10485,N,N,N,N,61295,4971,83,53363,712,114,66,1986,669,310M600US23700,"Gallup, NM Micro Area",2021,23700
104127,51842,52285,99.2,4574,5313,6202,7509,6436,11427,11443,12465,7410,8494,13732,6606,2516,43.9,20109,87049,84018,79320,27027,22854,84018,41592,42426,98.0,22854,10821,12033,89.9,104127,99415,4712,99415,93556,2229,530,N,N,N,N,697,N,N,N,N,N,N,N,29,N,N,N,N,2374,4712,361,513,571,0,104127,97611,3218,1200,1268,N,5641,104127,7680,4023,1806,483,1368,96447,91331,2219,46,697,29,373,1752,379,310M600US23900,"Gettysburg, PA Metro Area",2021,23900
126574,65186,61388,106.2,5566,7039,6312,5229,7148,14787,15315,16418,10102,10295,17641,7916,2806,46.2,23030,106558,103544,101225,34474,28363,103544,52988,50556,104.8,28363,13824,14539,95.1,126574,120448,6126,120448,114384,3926,70,N,N,N,N,933,N,N,N,N,N,N,N,0,N,N,N,N,1135,6126,707,644,551,0,126574,120478,4633,714,1570,N,5273,126574,2729,580,442,101,1606,123845,114088,3788,70,920,0,406,4573,2585,310M600US24020,"Glens Falls, NY Metro Area",2021,24020
81084,39876,41208,96.8,4523,4528,6304,5171,4823,9348,12582,9645,4097,6969,8463,3530,1101,39.4,18342,64724,62742,58687,16481,13094,62742,30788,31954,96.4,13094,6876,6218,110.6,81084,67900,13184,67900,56767,399,808,N,N,N,N,880,N,N,N,N,N,N,N,234,N,N,N,N,8812,13184,284,461,340,0,81084,68519,2072,1303,1263,N,20911,81084,20014,13916,344,262,5492,61070,54472,333,191,880,234,1599,3361,2276,310M600US24060,"Glenwood Springs, CO Micro Area",2021,24060
116835,56396,60439,93.3,6941,9374,7268,7862,7436,15502,14879,13136,7144,7563,11865,5889,1976,38.1,27875,92465,88960,83596,23475,19730,88960,42675,46285,92.2,19730,8510,11220,75.8,116835,103375,13460,103375,59625,33159,110,N,N,N,N,936,N,N,N,N,N,N,N,424,N,N,N,N,9121,13460,1292,2910,1164,826,116835,71606,36100,3918,2930,568,15605,116835,15491,6268,1071,0,8152,101344,58940,32866,0,936,424,124,8054,1249,310M600US24140,"Goldsboro, NC Metro Area",2021,24140
103462,52285,51177,102.2,6838,7108,5988,8309,11453,15079,12063,9881,6810,4371,9101,4399,2062,33.0,23251,82659,80211,72843,18707,15562,80211,40792,39419,103.5,15562,7242,8320,87.0,103462,96075,7387,96075,86942,4045,2204,N,N,N,N,2165,N,N,N,N,N,N,N,128,N,N,N,N,591,7387,408,1733,487,0,103462,94257,4865,4674,3167,940,4712,103462,5735,N,N,N,N,97727,85705,3973,1870,2165,56,69,3889,696,310M600US24220,"Grand Forks, ND-MN Metro Area",2021,24220
76175,38244,37931,100.8,4989,5531,6156,4013,4344,9870,9584,9046,4472,5005,8204,3126,1835,37.9,19916,58149,56259,54767,16678,13165,56259,28085,28174,99.7,13165,6003,7162,83.8,76175,69770,6405,69770,54810,1974,438,N,N,N,N,1366,N,N,N,N,N,N,N,0,N,N,N,N,11182,6405,110,191,39,133,76175,61058,2309,830,1405,N,17046,76175,19688,N,N,N,N,56487,52556,1974,263,872,0,65,757,216,310M600US24260,"Grand Island, NE Metro Area",2021,24260
157335,79377,77958,101.8,7049,8459,11517,10289,9831,18307,21498,17014,9056,11921,20272,8926,3196,41.1,32936,128269,124399,117143,39226,32394,124399,61491,62908,97.7,32394,15003,17391,86.3,157335,136186,21149,136186,128994,872,1592,N,N,N,N,1485,N,N,N,N,N,N,N,118,N,N,N,N,3125,21149,1430,1787,1040,0,157335,150143,2430,5277,2641,N,19870,157335,24030,12394,773,76,10787,133305,123950,872,513,1485,118,937,5430,1688,310M600US24300,"Grand Junction, CO Metro Area",2021,24300
1091620,545264,546356,99.8,64771,71567,75333,77893,77729,156495,142959,124662,69562,65741,100959,45932,18017,36.5,256522,864839,835098,787264,205460,164908,835098,414301,420797,98.5,164908,75743,89165,84.9,1091620,995784,95836,995784,849664,74337,4262,N,N,N,N,29324,2966,4204,1335,1146,6241,4952,8480,245,N,N,N,N,37952,95836,15575,6637,7284,607,1091620,941679,96791,13624,38994,1961,99639,1091620,111435,73722,10280,4222,23211,980185,831432,71504,1945,28716,204,6049,40335,10667,310M600US24340,"Grand Rapids-Kentwood, MI Metro Area",2021,24340
88346,43721,44625,98.0,3516,5175,4828,5290,3048,9400,10217,10060,5916,6998,14161,7482,2255,48.5,16741,74299,71605,69097,28965,23898,71605,34528,37077,93.1,23898,11092,12806,86.6,88346,78765,9581,78765,75870,26,319,N,N,N,N,669,N,N,N,N,N,N,N,41,N,N,N,N,1840,9581,N,N,N,N,88346,85451,N,4887,1552,N,6538,88346,7361,5185,142,0,2034,80985,73988,26,114,669,41,0,6147,1609,310M600US24420,"Grants Pass, OR Metro Area",2021,24420
84511,43652,40859,106.8,5297,5390,5355,4632,5654,12051,9896,8553,5423,5928,9673,4906,1753,38.6,19162,67823,65349,62709,19346,16332,65349,33047,32302,102.3,16332,7637,8695,87.8,84511,77451,7060,77451,69806,1046,3665,N,N,N,N,1045,N,N,N,N,N,N,N,20,N,N,N,N,1869,7060,1104,1599,365,123,84511,76503,2491,5702,1575,N,5557,84511,4399,N,N,N,N,80112,68708,1046,3536,905,20,559,5338,2237,310M600US24500,"Great Falls, MT Metro Area",2021,24500
340036,172823,167213,103.4,22692,22559,27307,24782,21083,50203,50083,41031,17352,20301,26999,11749,3895,35.2,87312,262320,252724,239167,55318,42643,252724,128152,124572,102.9,42643,19971,22672,88.1,340036,289488,50548,289488,242930,6438,4407,97,0,287,204,5455,492,1170,334,255,646,654,1904,330,N,N,N,N,29928,50548,1139,4791,3062,85,340036,291673,9243,13644,9674,933,69546,340036,104189,82038,1441,629,20081,235847,213043,4973,550,5019,161,1500,10601,3056,310M600US24540,"Greeley, CO Metro Area",2021,24540
329490,166055,163435,101.6,18535,19247,24422,21003,19691,42044,42919,40017,24102,21912,33876,16379,5343,39.7,74897,263424,254593,242845,67950,55598,254593,127093,127500,99.7,55598,25975,29623,87.7,329490,300398,29092,300398,268230,6946,3337,N,N,N,N,9541,N,N,N,N,N,N,N,0,N,N,N,N,12344,29092,3979,5815,1910,117,329490,295538,12390,10521,11461,N,28793,329490,27653,17672,5476,204,4301,301837,264352,6637,3254,9248,0,2902,15444,3281,310M600US24580,"Green Bay, WI Metro Area",2021,24580
70621,35005,35616,98.3,3251,4223,3112,4066,4172,7744,7985,9072,5371,5961,9431,5044,1189,45.8,13252,59248,57369,55095,19393,15664,57369,27901,29468,94.7,15664,7091,8573,82.7,70621,66576,4045,66576,64909,1048,350,N,N,N,N,128,N,N,N,N,N,N,N,0,N,N,N,N,141,4045,N,N,N,N,70621,68814,1610,1500,324,N,2448,70621,2329,N,N,N,N,68292,64748,922,215,128,0,141,2138,400,310M600US24620,"Greeneville, TN Micro Area",2021,24620
778848,372861,405987,91.8,44321,47329,49112,56964,49394,100529,95661,100821,49439,53881,78636,40640,12121,39.5,171449,627933,607399,570656,164501,131397,607399,286037,321362,89.0,131397,57760,73637,78.4,778848,713919,64929,713919,439955,207623,1926,N,N,N,N,29664,7134,3097,3479,191,1898,7593,6272,532,N,N,N,N,34219,64929,9527,10109,4614,2075,778848,496297,228586,18452,36918,2314,66996,778848,72666,44220,7613,3083,17750,706182,430425,204016,1374,29426,532,3552,36857,5274,310M600US24660,"Greensboro-High Point, NC Metro Area",2021,24660
172169,81633,90536,90.2,8927,10227,9981,16164,21768,23122,21210,17741,9286,9127,15794,6726,2096,33.0,35930,141122,136239,122382,30684,24616,136239,62753,73486,85.4,24616,10541,14075,74.9,172169,165234,6935,165234,91769,61583,338,N,N,N,N,3032,N,N,N,N,N,N,N,0,N,N,N,N,8512,6935,1811,843,1070,317,172169,98077,64215,1498,4463,N,11027,172169,11817,N,N,N,N,160352,90042,61501,41,3032,0,652,5084,692,310M600US24780,"Greenville, NC Metro Area",2021,24780
940774,459577,481197,95.5,51964,59707,60072,65534,61751,124799,119101,114495,59477,62816,97338,47005,16715,38.9,208397,756924,732377,692016,200275,161058,732377,352911,379466,93.0,161058,72095,88963,81.0,940774,865171,75603,865171,673883,129958,5862,N,N,N,N,18843,8054,3261,1427,347,880,1780,3094,239,N,N,N,N,36386,75603,15696,18551,4708,669,940774,745436,149991,27407,23899,1142,70562,940774,72227,32214,6695,3071,30247,868547,666730,128454,2737,18567,239,5533,46287,5611,310M600US24860,"Greenville-Anderson, SC Metro Area",2021,24860
69241,32084,37157,86.3,3377,3979,5328,5092,5124,9296,7448,7112,4795,4138,8391,3739,1422,39.3,15771,55620,53470,50005,16133,13552,53470,24928,28542,87.3,13552,6059,7493,80.9,69241,65019,4222,65019,42576,20794,163,N,N,N,N,344,N,N,N,N,N,N,N,0,N,N,N,N,1142,4222,702,1397,616,372,69241,46052,21868,2318,972,N,2265,69241,4670,N,N,N,N,64571,39876,20562,163,344,0,746,2880,201,310M600US24940,"Greenwood, SC Micro Area",2021,24940
67526,33555,33971,98.8,2136,2849,3582,3381,3584,9678,7851,9129,4865,5182,8829,4749,1711,46.0,10826,58615,56700,54143,18828,15289,56700,28326,28374,99.8,15289,6579,8710,75.5,67526,42752,24774,42752,18209,3289,0,N,N,N,N,0,N,N,N,N,N,N,N,0,N,N,N,N,21254,24774,N,N,N,N,67526,37752,10775,N,N,N,44381,67526,67317,N,N,N,N,209,N,N,N,N,N,N,N,N,310M600US25020,"Guayama, PR Metro Area",2021,25020
